review_id,rating,content,review_date,product_id,user_id
6010a088-0e5a-4677-9723-51dafac8b239,2,Sample content 0,2019-11-21,3c98c83c-0bc4-45ed-a6a4-81e7319ef8bf,5c5d3770-4962-491b-91c7-c31116141183
5edc95fd-f9a5-455d-8f18-71e027cedc7f,1,Sample content 1,2012-04-21,7ea7a7b5-cc9e-405e-8ab4-c8e3e8dd22f2,49fb12f9-c506-4bbc-8d18-b51dc5a29650
7ef11062-cce9-4aec-8238-324babe71496,5,Sample content 2,2008-01-05,69d4c6a1-25ce-4f87-9442-46d4d0f2db5e,50cbec2f-4070-4655-9a98-448767438781
c0717bfe-e76d-41b0-acb0-d57b18f4e4fb,4,Sample content 3,2001-07-18,3a89e838-23c3-4782-808a-b5c0a1f4f6e1,a65246b6-4c83-4969-a841-a68d50d6b8bd
f63e1238-b12e-4a13-ab5c-5f85762b9481,3,Sample content 4,2015-11-04,3c98c83c-0bc4-45ed-a6a4-81e7319ef8bf,a65246b6-4c83-4969-a841-a68d50d6b8bd
525d927b-5a79-4a05-b159-bc7f44446be2,1,Sample content 5,2021-03-21,69d4c6a1-25ce-4f87-9442-46d4d0f2db5e,a9d392c5-8193-4a83-88fe-cb61e00f1763
e53548d6-f984-4748-9fcf-b91b0c7cafab,1,Sample content 6,2014-01-31,5519c993-3f1a-4cc3-8d8b-e4b3e9144dfb,9f627ca2-6e3d-4c30-91a1-d0e824e8f900
dfe8119c-c332-4660-bd1e-7f1db30a971f,2,Sample content 7,2014-03-22,7ea7a7b5-cc9e-405e-8ab4-c8e3e8dd22f2,886e1b04-1d66-4f0a-836b-2bd201c3cace
aea576f0-60e6-4002-ba43-deadbb0352a3,1,Sample content 8,2000-03-24,760c6e72-6b83-41f4-8a16-9807d762e76b,bbb918bf-2fe1-4623-97f3-8105222e7508
994a6003-bcc1-4580-9a8a-e498340b67ed,3,Sample content 9,2004-01-17,f7f5104f-6ad3-4abf-8cfb-bd2a56cb74ea,0f18904c-e012-4c4e-a599-a4bc953071af
12fdb1d3-bfa0-44f9-87a1-e0a926e2eac9,5,Sample content 10,2012-10-09,8c74f072-9cc4-4b12-b15c-0e7d40e06a48,a65246b6-4c83-4969-a841-a68d50d6b8bd
1778f731-714e-4d50-b75f-06c9f9286b8a,4,Sample content 11,2013-06-11,69d4c6a1-25ce-4f87-9442-46d4d0f2db5e,db7e8f79-5802-4e36-8ca8-a52863eef8f7
c69c505c-fb47-4e50-813a-6a87b8fb6d41,4,Sample content 12,2016-04-26,6149f351-c808-4db2-93a2-9140b80ea531,0c9b1899-d559-4321-9d87-8dcab1e3ad30
4dbac0f4-9799-4f15-8b16-bfd649372409,3,Sample content 13,2001-01-03,ba7bbf35-3787-46a2-b78b-07a7b39c9ab8,259ada00-6630-4a89-8d26-5a7780b5faee
aa64e478-65ff-4849-9fc3-1a2dfd568dac,3,Sample content 14,2018-01-20,ba7bbf35-3787-46a2-b78b-07a7b39c9ab8,8b527861-c165-4950-a742-f7fe3d54ec9c
3945aeae-5dfc-44b0-a531-6b4f7fd58b85,2,Sample content 16,2021-09-03,f7f5104f-6ad3-4abf-8cfb-bd2a56cb74ea,4ca885e1-c59f-4c38-9d2c-d1f94226f617
